URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,8° Trofeo Città di Pavia,Lodi,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134414:8%C2%B0-trofeo-citta`%C2%A0di-pavia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,23-24/03,,1° Trofeo Città di Monza,Monza (MB),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135539:1%C2%B0-trofeo-citt%C3%A0-di-monza.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,23-24/03,,2° Trofeo Master Babel,Roma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135677:2%C2%B0-trofeo-master-babel.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/03,,6° Trofeo Civitanova Marche,Civitanova Marche (MC),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134921:6%C2%B0-trofeo-civitanova-m.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/03,,Sardegna Nuota 2019,Cagliari,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134515:sardegna-nuota-2019-master.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/03,,6° Memorial Max Zuin,Padova,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134544:6%C2%B0-memorial-max-zuin.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,31/03,,6° Trofeo Fanatik Team,Forlì (FC),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135552:6%C2%B0-trofeo-fanatik-team.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,31/03,,15° Trofeo Città di Travagliato,Travagliato (BS),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134543:15%C2%B0-trofeo-citta`%C2%A0di-travagliato.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,31/03,,7° Trofeo Nuoto Ponente,Genova,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134516:7%C2%B0-trofeo-nuoto-ponente.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,6-7/04,,4° Trofeo del Barbarossa,Lodi,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134545:4%C2%B0-trofeo-del-barbarossa.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,6-7/04,,1° Trofeo Master Città di Fermo,Fermo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135121:1%C2%B0-trofeo-master-citta`-di-fermo.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,7/04,,6° Trofeo Città di Striano,Striano (NA),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134926:6%C2%B0-trofeo-citta`-di-striano.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,7/04,,2° Trofeo Citta` di Sassuolo,Sassuolo (MO),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134923:2%C2%B0-trofeo-master-citt%C3%A0-di-sassuolo.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,7/04,,10° Trofeo Pina Cattarinich,Palermo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134922:10%C2%B0-trofeo-pina-cattarinich.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,7/04,,10° Trofeo Paolo Pinto,Bari,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135122:10%C2%B0-trofeo-paolo-pinto.html,"2019"
